981756 	NIGHT
254148 	NIGHT
222828 	NIGHT
114742 	DAY
902068 	NIGHT
200917 	NIGHT
735570 	NIGHT
669231 	NIGHT
826297 	NIGHT
20660 	NIGHT
560278 	NIGHT
810679 	DAY
698823 	NIGHT
545106 	DAY
756683 	NIGHT
490196 	DAY
733686 	NIGHT
677397 	NIGHT
549895 	NIGHT
958448 	DAY
294236 	NIGHT
394315 	NIGHT
364227 	NIGHT
914319 	NIGHT
144985 	DAY
21811 	NIGHT
638345 	NIGHT
299539 	NIGHT
844787 	NIGHT
916966 	DAY
276945 	DAY
309153 	NIGHT
814182 	DAY
402474 	DAY
766216 	NIGHT
829722 	NIGHT
213230 	NIGHT
554209 	NIGHT
961294 	NIGHT
479425 	NIGHT
658475 	NIGHT
595384 	NIGHT
418595 	NIGHT
948044 	DAY
19998 	NIGHT
148640 	NIGHT
601548 	NIGHT
941835 	NIGHT
880258 	NIGHT
535667 	NIGHT
811105 	NIGHT
813565 	NIGHT
557783 	DAY
359188 	NIGHT
598814 	NIGHT
188529 	NIGHT
135769 	NIGHT
83449 	NIGHT
397630 	NIGHT
564454 	NIGHT
23907 	DAY
939262 	NIGHT
421575 	NIGHT
274235 	NIGHT
241232 	NIGHT
503573 	NIGHT
296378 	NIGHT
810464 	DAY
418243 	NIGHT
217257 	NIGHT
6329 	NIGHT
375179 	NIGHT
340358 	NIGHT
647478 	NIGHT
242711 	NIGHT
974467 	NIGHT
661018 	DAY
478885 	NIGHT
771611 	NIGHT
771366 	NIGHT
199315 	NIGHT
298238 	NIGHT
210195 	DAY
311474 	DAY
697 	NIGHT
324271 	NIGHT
359624 	NIGHT
972262 	NIGHT
348585 	NIGHT
296761 	DAY
541015 	NIGHT
405599 	NIGHT
286400 	NIGHT
413791 	NIGHT
343937 	DAY
829676 	NIGHT
401456 	NIGHT
814005 	NIGHT
169845 	NIGHT
698132 	NIGHT
350610 	NIGHT
29122 	NIGHT
682397 	NIGHT
271502 	NIGHT
642310 	NIGHT
611738 	NIGHT
489081 	NIGHT
792437 	NIGHT
820865 	NIGHT
473459 	DAY
933713 	NIGHT
145247 	NIGHT
163079 	NIGHT
807406 	DAY
684391 	NIGHT
563201 	NIGHT
312826 	NIGHT
624396 	NIGHT
634154 	DAY
701714 	NIGHT
681484 	NIGHT
476326 	NIGHT
875720 	NIGHT
498408 	NIGHT
167013 	NIGHT
722604 	DAY
249192 	NIGHT
758576 	NIGHT
588773 	NIGHT
896427 	NIGHT
251526 	NIGHT
612103 	DAY
362585 	DAY
642892 	NIGHT
954910 	NIGHT
850218 	NIGHT
398930 	NIGHT
829800 	NIGHT
255154 	NIGHT
65841 	NIGHT
204026 	NIGHT
530577 	NIGHT
524052 	NIGHT
992025 	DAY
429066 	NIGHT
294660 	NIGHT
332514 	NIGHT
116751 	NIGHT
492517 	NIGHT
971924 	DAY
746799 	DAY
19685 	DAY
431148 	NIGHT
257346 	NIGHT
440588 	NIGHT
486144 	DAY
453553 	NIGHT
950763 	NIGHT
